Ensemble CD34 fAdrenal fHeart fKidney fLung fBrain IPS_19.7 IPS_19.11 IPS_6.9 fLung_Rt fLung_Lt fKidney_Rt mobCD34 fKidney_Lt fThymus fIntestine_Sm fIntestine_Lg CD3 CD8 CD4 CD14 CD19 fKidney_Rcortex fKidney_Rpelvis fMuscle_Leg fMuscle_Arm mobCD3
ENSG00000117154 -2.50892102255585 -2.78958453535322 -2.62749995115633 0 -2.87556886264785 45.149953095469 0 0 0 -2.80914368091822 -2.53702234690342 -2.96496944993789 0 -2.83281668223007 -2.42862776031933 -2.73474666974701 -2.87589697494237 -2.34592535293319 -2.2530591450663 0 -2.1624238754068 0 -2.72702386582011 -2.78887231577608 -2.88785060375498 0 0
ENSG00000009709 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000053372 0 0 -4.40467940837914 0 -4.55798637681024 0 2.78800921151257 18.4907191918796 10.3470043824873 -1.43921341545643 0 -3.04448324335382 0 -3.00895880719029 0 -1.41550627275285 -1.558723801821 -3.01034750153972 -1.49445724122429 0 -3.07987921504633 0 -3.03342136025522 -1.57807614205007 0 0 0
ENSG00000040487 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000164587 0.974504870641953 0 0 0 0.861353678107308 -1.83585854874926 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000158748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000127472 -4.31259696270159 -1.74949922464832 49.4445452407037 -1.86259899515685 -4.45454498061066 -4.76551566983219 -2.20012088306011 -2.06385237865501 -2.24235734079621 -4.18581010097779 -4.07411525504984 -5.20922181026686 29.173202341254 -5.10670312401913 -4.59881800085076 -5.03773809083887 -4.98792722044385 -1.96804454571221 -1.83624566330502 0 -1.77265412930155 -2.02472274086301 -4.67365476704355 -5.16879735351671 -2.23283576553825 0 -2.08937257876936
ENSG00000158786 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162543 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000158825 -3.53087982406271 -3.97808839504714 -4.0022533678471 -2.81492420636169 -4.08117593221901 -3.96515554072256 -2.8341408746975 -2.5303084743329 -2.59492055171078 -4.07156567905051 -3.90721701753233 -3.69471675178313 -3.83639489537815 -3.5696993170789 -3.89890795933989 -3.92186488869426 -4.10379774837972 -3.5504866599089 -3.52972216623144 -2.42914731274503 91.7870939349235 -3.31173919496175 -3.41750868662438 -3.32047308080085 -4.02614234609012 -3.94272484757392 -2.92313821574886
ENSG00000158828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000162551 -11.4295402925083 19.6947913645101 -10.6169888090697 0 -16.45433841923 -7.78852169574058 45.3786100892609 49.6642065722334 46.274299023939 -15.9743629464296 -8.02521437750075 1.23814461022543 -9.18091960428101 4.58010477242744 -11.9960032378303 -15.4256645461508 -13.313285171941 -11.0351925345427 -10.7868787854753 -2.95701798908684 -8.51624856366513 -9.03359146856783 4.92561591230554 0 -9.22200390288191 0 0
ENSG00000070831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000070886 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000173372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000159189 -3.53338591566774 0 0 0 0 0 0 0 0 0 0 0 0 0 1.99928139760123 1.53410451806651 0 0 0 0 0 0 0 0 0 0 0
ENSG00000173369 -4.77319362425073 0 0 0 0 -2.98268988523321 0 0 0 0 0 -1.3346722547455 0 -1.28112683509935 6.65821466859006 8.56343688725818 1.50686578260803 -3.18738797544112 -3.16944676368637 0 0 0 0 0 0 0 0
ENSG00000133216 -3.71639898620209 -2.24924005477596 -3.27392831538436 0 -1.45367478032022 25.7811787037499 0 0 0 -1.47150871568861 0 -1.90934107287056 0 -1.79324971758932 -2.10114665673087 2.50360199827591 0 -2.15447006708936 -2.06969489570433 0 0 0 -1.74249585353149 -1.90448322204969 0 0 -2.44514836408891
ENSG00000004487 0 0 0 -1.67180060469414 0 3.01105108123518 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1.33925047654104 0 0 0 0 0 0
ENSG00000142676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000011007 0 0 0 -1.42493248534648 0 0 0 1.42493248534648 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000057757 1.74192290672772 0 -2.80924531297075 -9.9384530995489 -6.25933396121162 1.84706042975115 0 0 0 -4.71432977893943 -1.99228024971516 0 0 -2.0218346902061 9.86081399199095 0 0 8.67063191988034 5.45838192393954 0 0 1.51783816535037 -5.23621540131673 -2.39927093312171 0 0 6.27431408939034
ENSG00000158055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000117602 -7.113488046303 -36.4627424556578 -12.3532381823758 -13.3634510814698 -10.2582689960243 -7.56107024477203 -7.74185554192027 -2.74187261460839 -2.70525078825358 -12.2267902859919 -9.2938613791702 -9.83683745639705 -12.5532445515641 -11.6445376191178 0.39559094931797 -9.18292291048298 -12.3359963476513 71.469888734287 50.2650894608055 59.3048338679768 -7.43132960165313 2.90435575009268 -12.2063586920724 -11.7810026850414 -15.4077955008422 -15.5954345496435 55.4575907685329
ENSG00000133226 0 0 0 0 0.631619438612356 -0.631619438612356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000169504 1.83572047390603 -7.65592315568159 37.7346770157905 7.28075894840244 20.6681650189552 6.18864749841924 10.6327265079488 10.3886345461336 13.65647391196 17.8177839071526 12.0280516238954 11.5991969205547 19.7912955261876 13.3102516219692 5.07455932024858 4.4653345852511 6.11200810533741 -73.7353119094153 -70.6468208974027 -30.3614127133384 3.15628301543943 10.576735624202 13.1590616448634 13.1107566754822 10.1001948852771 10.1700939429299 -76.4579426444684
ENSG00000157978 -3.87561626186271 -5.34173640921766 -6.717482981868 -3.02174765577162 -6.83732924252932 -10.673505181042 -1.71835540022075 -1.64642980773045 -1.7463239031878 -5.24610727865786 -5.14799407377438 -8.19845114883075 -3.73950899790338 -8.02735782473954 -7.80670638513728 -6.87176519702479 -5.60491566136209 45.2944181153554 33.0015920501987 16.3977923317896 -3.14980922976768 -1.62858103708089 -8.07226355024769 -8.92687865635168 -6.4164467858775 -3.63942922700362 29.3609393998457
