comp0_NID	IW_ID	Ensemble	HUGO
233	398	ENSG00000132703	APCS

234	399	ENSG00000131381	ZFYVE20

235	404	ENSG00000115944	COX7A2L

236	405	ENSG00000137054	POLR1E

237	410	ENSG00000115266	APC2

238	411	ENSG00000138802	SEC24B

239	412	ENSG00000164896	FASTK

240	413	ENSG00000158022	TRIM63

241	414	ENSG00000004864	SLC25A13

242	417	ENSG00000139613	SMARCC2

243	419	ENSG00000151846	PABPC3

244	422	ENSG00000100425	BRD1

245	423	ENSG00000187574	LOC729974

246	424	ENSG00000047188	YTHDC2

247	426	ENSG00000092421	SEMA6A

248	427	ENSG00000187266	EPOR

249	428	ENSG00000113580	NR3C1

250	431	ENSG00000111652	COPS7A

251	432	ENSG00000158864	NDUFS2

252	433	ENSG00000168268	NT5DC2

253	435	ENSG00000166710	B2M

254	436	ENSG00000078142	PIK3C3

255	441	ENSG00000146826	C7orf43

256	442	ENSG00000048740	CUGBP2

257	445	ENSG00000206476	ENSG00000206476

258	446	ENSG00000137857	DUOX1

259	447	ENSG00000164066	INTU

260	448	ENSG00000186297	GABRA5

261	449	ENSG00000011566	MAP4K3

262	450	ENSG00000014216	CAPN1

263	451	ENSG00000063761	ADCK1

264	454	ENSG00000139874	SSTR1

265	455	ENSG00000152049	KCNE4

266	456	ENSG00000156113	KCNMA1

267	457	ENSG00000080493	SLC4A4

268	458	ENSG00000079689	SCGN

269	460	ENSG00000154188	ANGPT1

270	461	ENSG00000112112	ENSG00000112112

271	464	ENSG00000133740	E2F5

272	469	ENSG00000131187	F12

273	471	ENSG00000136100	VPS36

274	472	ENSG00000163104	SMARCAD1

275	473	ENSG00000048392	RRM2B

276	474	ENSG00000070601	FRMPD1

277	475	ENSG00000121716	PILRB

278	477	ENSG00000125875	TBC1D20

279	479	ENSG00000148795	CYP17A1

280	480	ENSG00000107165	TYRP1

281	481	ENSG00000101439	CST3

282	482	ENSG00000187681	ORM1

283	483	ENSG00000116525	TRIM62

284	485	ENSG00000135090	TAOK3

285	486	ENSG00000198049	AVPR1B

286	491	ENSG00000091831	ESR1

287	496	ENSG00000183795	BPY2B

288	498	ENSG00000075945	KIFAP3

289	499	ENSG00000158352	SHROOM4

290	500	ENSG00000197079	KRT35

291	501	ENSG00000203722	RAET1G

292	504	ENSG00000138434	SSFA2

293	505	ENSG00000162191	UBXN1

294	506	ENSG00000102900	NUP93

295	507	ENSG00000124356	STAMBP

296	508	ENSG00000050438	SLC4A8

297	510	ENSG00000172995	ARPP-21

298	512	ENSG00000213934	HBG1

299	513	ENSG00000150753	CCT5

300	515	ENSG00000172531	PPP1CA

301	517	ENSG00000071054	MAP4K4

302	519	ENSG00000165891	E2F7

303	520	ENSG00000124588	NQO2

304	521	ENSG00000076258	FMO4

305	527	ENSG00000006128	TAC1

306	528	ENSG00000172288	CDY1

307	529	ENSG00000137880	GCHFR

308	531	ENSG00000121653	MAPK8IP1

309	532	ENSG00000112312	GMNN

310	534	ENSG00000157350	ST3GAL2

311	537	ENSG00000176986	SEC24C

312	538	ENSG00000197329	PELI1

313	540	ENSG00000144824	PHLDB2

314	541	ENSG00000155629	PIK3AP1

315	543	ENSG00000197312	DDI2

316	545	ENSG00000172575	RASGRP1

317	546	ENSG00000059915	PSD

318	547	ENSG00000198498	C4orf43

319	549	ENSG00000106665	CLIP2

320	553	ENSG00000185559	DLK1

321	557	ENSG00000114854	TNNC1

322	560	ENSG00000172732	MUS81

323	561	ENSG00000129472	RAB2B

324	562	ENSG00000091140	DLD

325	564	ENSG00000084110	HAL

326	565	ENSG00000135845	PIGC

327	567	ENSG00000076555	ACACB

328	568	ENSG00000123472	ATPAF1

329	570	ENSG00000161526	SAP30BP

330	572	ENSG00000165209	STRBP

331	575	ENSG00000187531	SIRT7

332	577	ENSG00000127743	IL17B

333	578	ENSG00000132872	SYT4

334	580	ENSG00000101255	TRIB3

335	581	ENSG00000116120	FARSB

336	583	ENSG00000168772	CXXC4

337	584	ENSG00000130734	ATG4D

338	585	ENSG00000171735	CAMTA1

339	587	ENSG00000071242	RPS6KA2

340	588	ENSG00000103546	SLC6A2

341	589	ENSG00000078618	NRD1

342	592	ENSG00000105376	ICAM5

343	594	ENSG00000170289	CNGB3

344	596	ENSG00000145040	UCN2

345	597	ENSG00000122584	NXPH1

346	599	ENSG00000125531	C20orf195

347	600	ENSG00000107262	BAG1

348	602	ENSG00000089060	SLC24A6

349	603	ENSG00000015676	NUDCD3

350	605	ENSG00000214415	GNAT3

351	606	ENSG00000112996	MRPS30

352	608	ENSG00000155085	AKD1

353	610	ENSG00000164296	TIGD6

354	611	ENSG00000125746	EML2

355	613	ENSG00000154342	WNT3A

356	616	ENSG00000196611	MMP1

357	618	ENSG00000137124	ALDH1B1

358	619	ENSG00000005471	ABCB4

359	620	ENSG00000109466	KLHL2

360	621	ENSG00000152219	C11orf46

361	622	ENSG00000185272	RBM11

362	627	ENSG00000164438	TLX3

363	628	ENSG00000163882	POLR2H

364	629	ENSG00000081026	MAGI3

365	630	ENSG00000143315	PIGM

366	631	ENSG00000176797	DEFB103B

367	636	ENSG00000104823	ECH1

368	637	ENSG00000198860	TSEN15

369	640	ENSG00000125744	RTN2

370	642	ENSG00000165792	METT11D1

371	648	ENSG00000076356	PLXNA2

372	649	ENSG00000117154	IGSF21

373	650	ENSG00000117519	CNN3

374	652	ENSG00000162482	AKR7A3

375	653	ENSG00000139697	SBNO1

376	654	ENSG00000204120	GIGYF2

377	657	ENSG00000115524	SF3B1

378	659	ENSG00000178057	NDUFAF3

