Ensemble CGE_2A DFC_2A HIP_2A LGE_2A M1C.S1C_2A MFC_2A OFC_2A PCx_2A MGE_2A Ocx_2A HIP_2B HIP_3A S1C_3A V1C_4 STC_3B IPC_3A CBC_4 M1C_3A STR_3A DFC_4
ENSG00000185532 -2.94742895325203 0 55.4491967750677 -9.39028639227643 -2.96493729674797 0 0 -3.06465611788618 -19.7411060602981 -5.99379107723578 61.0269502286586 36.7748909502033 -8.69022459349593 -16.995341903794 -21.6184487652439 -5.71600314363143 12.6377298780488 -5.72761289972899 -10.9339007791328 -5.69172156504065
ENSG00000037042 -445.417710892615 -365.438670121105 -399.305778259655 -273.736358148713 -329.506436116192 -366.660812783706 -175.550281163618 -291.421502162941 -292.439393534892 -348.339160343835 -293.426989512195 -253.893177552507 -143.981728738144 -66.5078094613821 -106.719140431911 -129.856375948509 -173.826844510501 -146.006926624322 -149.916115127032 -124.05562199187
ENSG00000089693 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000205981 0 0 0 0 0 0 0 0 0 0 0 -4.55921226964769 0 0 0 0 0 0 0 0
ENSG00000101350 -66.9677329276762 -19.8972584078591 -5.24146338414635 0 -20.3278624627372 -1.68659821646341 -1.71155856199187 0 0 -6.92662542682927 0 0 1.71568938685637 1.77319298272358 0 1.83977545731708 0 0 0 5.29648110264228
ENSG00000163950 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000145945 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000131475 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000153563 -2.40152301829268 0 -2.51866866869919 0 0 -2.55829175813008 -2.42624588414634 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000048140 -3.79213667174797 0 0 -3.75534929369919 0 0 0 0 -1.83269763719512 0 -1.68658937838754 -14.2888378014905 -5.3158181453252 -3.35087736280488 0 -3.33973086551491 1.62272589769648 -5.2949306046748 -18.322704527439 -1.54889944105691
ENSG00000196581 0 -107.722636434621 0 0 -88.6386216361789 -145.760572013889 -30.5021742869242 -30.4578791649729 0 -62.5501378963415 -65.3516283299458 -127.306591966463 -13.1538455640244 0 0 0 0 -45.38107325542 61.2717264481708 83.0273772544038
ENSG00000166930 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000126217 -33.9048791463415 -29.3688400406504 -17.14893225271 0 -8.65285655487806 -10.7002239193767 -19.1408082842141 -6.27713267276423 0 -60.5583461161925 -1.84694980352304 0 0 1.90226172764228 1.93395226117886 0 0 0 0 0
ENSG00000162614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000156738 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000183762 0 -2.57189906165312 0 0 -2.34342477303523 -2.44304502710027 0 -2.54974926490515 -2.42502104336044 -2.37028499661247 -2.4519870596206 -2.18007135501355 0 11.279946504065 0 0 0 0 -1.97159603658537 0
ENSG00000173473 48.0069138431571 49.909732688008 54.6585593885501 12.9559220257452 31.740454905149 52.1957444630758 7.3475571714092 51.9755091988482 14.9119148340108 62.7914346392276 13.139373451897 12.9978816361789 0 0 18.6915176287263 0 0 0 0 0
ENSG00000111144 10.6089822408537 13.0207710518293 30.9673069478319 1.94465115345528 2.00843112296748 40.8343640819783 40.8475778014905 1.96254015752032 8.22995116361788 10.6180351880081 15.5220276422764 27.2042717750678 0 0 0 0 0 0 0 0
ENSG00000152409 -2.08581824695122 0 0 0 0 0 0 0 -2.15646132621951 0 0 0 0 14.713163401084 0 0 0 0 0 0
ENSG00000177272 0 0 0 0 0 0 0 0 0 0 0 0 0 9.30141227642277 2.86874057926829 0 0 0 2.89867031334689 6.53270766768292
ENSG00000114738 0 214.240101988482 0 0 11.0904002455962 206.21438120935 134.081344927168 0 0 15.5669372340786 0 0 -8.09551363313007 -9.76713258976965 -7.87979707825203 -10.2537038634824 0 -7.95870916158536 -7.78188491361788 -4.81680216971545
ENSG00000178538 -73.8093820867209 -67.2757042310298 -67.9608522544038 -71.6822632046071 -71.080317696477 -64.3316394139567 -64.3650532452575 -71.2841135907859 -73.2996295663957 -73.1271783062331 -55.0241911653116 -56.423053699187 -60.8985789363144 -70.1617072696477 -71.0738035704607 -66.9790444444444 849.04462652185 -55.9065243292683 -62.1625726355013 -68.2542862330623
ENSG00000126562 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000111665 499.855906377032 421.221112701558 25.8884072069783 497.097655096545 420.914152152777 411.057453849932 354.684726348238 70.1398228810975 460.138569303862 213.025249889905 4.9230137550813 8.18679124153117 -23.7733064989837 -16.6180294004065 -22.7975480843496 -21.1591912550813 13.3349118580623 -20.9747529894986 -6.59742734756097 -17.7051721189024
ENSG00000108797 -505.041055240515 -503.063241581978 -483.369878770325 -498.42576245935 -479.58383664126 -483.647211504065 -490.025558729675 -452.109156031504 -498.685423993902 -454.497737921748 -451.288019751016 -456.146520238821 -448.05120316565 -352.942900340447 -420.473419110772 -451.845527840447 -310.926832469512 -460.171546060298 -485.259821202575 -350.690324247968
ENSG00000197993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000000938 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
